PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
2,Yes,First Class,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,71.2833,C85,C
3,Yes,Third Class,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,,S
4,Yes,First Class,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,53.1,C123,S
9,Yes,Third Class,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,347742,11.1333,,S
10,Yes,Second Class,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,237736,30.0708,,C
11,Yes,Third Class,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,PP 9549,16.7,G6,S
12,Yes,First Class,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,26.55,C103,S
16,Yes,Second Class,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0,248706,16,,S
18,Yes,Second Class,"Williams, Mr. Charles Eugene",male,,0,0,244373,13,,S
20,Yes,Third Class,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C
22,Yes,Second Class,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,D56,S
23,Yes,Third Class,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,8.0292,,Q
24,Yes,First Class,"Sloper, Mr. William Thompson",male,28,0,0,113788,35.5,A6,S
26,Yes,Third Class,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,,S
29,Yes,Third Class,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q
32,Yes,First Class,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C
33,Yes,Third Class,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q
37,Yes,Third Class,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C
40,Yes,Third Class,"Nicola-Yarred, Miss. Jamila",female,14,1,0,2651,11.2417,,C
44,Yes,Second Class,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2,SC/Paris 2123,41.5792,,C
45,Yes,Third Class,"Devaney, Miss. Margaret Delia",female,19,0,0,330958,7.8792,,Q
48,Yes,Third Class,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q
53,Yes,First Class,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,PC 17572,76.7292,D33,C
54,Yes,Second Class,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,2926,26,,S
56,Yes,First Class,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S
57,Yes,Second Class,"Rugg, Miss. Emily",female,21,0,0,C.A. 31026,10.5,,S
59,Yes,Second Class,"West, Miss. Constance Mirium",female,5,1,2,C.A. 34651,27.75,,S
62,Yes,First Class,"Icard, Miss. Amelie",female,38,0,0,113572,80,B28,
66,Yes,Third Class,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C
67,Yes,Second Class,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,C.A. 29395,10.5,F33,S
69,Yes,Third Class,"Andersson, Miss. Erna Alexandra",female,17,4,2,3101281,7.925,,S
75,Yes,Third Class,"Bing, Mr. Lee",male,32,0,0,1601,56.4958,,S
79,Yes,Second Class,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29,,S
80,Yes,Third Class,"Dowdell, Miss. Elizabeth",female,30,0,0,364516,12.475,,S
82,Yes,Third Class,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,345779,9.5,,S
83,Yes,Third Class,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q
85,Yes,Second Class,"Ilett, Miss. Bertha",female,17,0,0,SO/C 14885,10.5,,S
86,Yes,Third Class,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,3101278,15.85,,S
89,Yes,First Class,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,263,C23 C25 C27,S
98,Yes,First Class,"Greenfield, Mr. William Bertram",male,23,0,1,PC 17759,63.3583,D10 D12,C
99,Yes,Second Class,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,1,231919,23,,S
107,Yes,Third Class,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,343120,7.65,,S
108,Yes,Third Class,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S
110,Yes,Third Class,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q
124,Yes,Second Class,"Webber, Miss. Susan",female,32.5,0,0,27267,13,E101,S
126,Yes,Third Class,"Nicola-Yarred, Master. Elias",male,12,1,0,2651,11.2417,,C
128,Yes,Third Class,"Madsen, Mr. Fridtjof Arne",male,24,0,0,C 17369,7.1417,,S
129,Yes,Third Class,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C
134,Yes,Second Class,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0,228414,26,,S
137,Yes,First Class,"Newsom, Miss. Helen Monypeny",female,19,0,2,11752,26.2833,D47,S
142,Yes,Third Class,"Nysten, Miss. Anna Sofia",female,22,0,0,347081,7.75,,S
143,Yes,Third Class,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,STON/O2. 3101279,15.85,,S
147,Yes,Third Class,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,0,350043,7.7958,,S
152,Yes,First Class,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,113776,66.6,C2,S
157,Yes,Third Class,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,35851,7.7333,,Q
162,Yes,Second Class,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,0,C.A. 33595,15.75,,S
166,Yes,Third Class,"Goldsmith, Master. Frank John William ""Frankie""",male,9,0,2,363291,20.525,,S
167,Yes,First Class,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,113505,55,E33,S
173,Yes,Third Class,"Johnson, Miss. Eleanor Ileen",female,1,1,1,347742,11.1333,,S
